s000068,000015,1111326
s000068,000014,1111330
s000068,000017,1111276
s000068,000016,1111308
s000068,000011,1111250
s000068,000010,1111285
s000068,000013,1111341
s000068,000012,1111270
s000068,000025,1111230
s000068,000019,1111315
s000068,000018,1111325
s000068,000006,1111267
s000068,000007,1111409
s000068,000004,1111273
s000068,000023,1111309
s000068,000002,1111846
s000068,000003,1111501
s000068,000020,1111284
s000068,000021,1111320
s000068,000022,1111254
s000068,000005,1111253
s000068,000024,1111347
s000068,000000,1114393
s000068,000026,1111310
s000068,000001,1114421
s000068,000028,1111333
s000068,000029,1111308
s000068,000027,1111354
s000068,000008,1111363
s000068,000009,1111599
s000069,000015,2543498
s000069,000014,4328663
s000069,000017,4599284
s000069,000016,4145174
s000069,000011,4356260
s000069,000010,4037089
s000069,000013,3638424
s000069,000012,4358679
s000069,000019,4379989
s000069,000018,4623531
s000069,000020,3673356
s000069,000007,4469356
s000069,000022,3910576
s000069,000005,4162536
s000069,000024,3978803
s000069,000025,3306232
s000069,000006,3734815
s000069,000021,361141
s000069,000004,4614339
s000069,000023,4064012
s000069,000002,3704066
s000069,000003,4784278
s000069,000000,5213873
s000069,000027,4602089
s000069,000028,4296206
s000069,000029,4759942
s000069,000001,3781699
s000069,000008,4558821
s000069,000009,4084969
s000069,000026,4757086
s000062,000015,4489152
s000062,000014,4713132
s000062,000017,3751340
s000062,000016,3987948
s000062,000011,4604959
s000062,000010,4783832
s000062,000013,5069440
s000062,000012,4438287
s000062,000019,4606581
s000062,000018,4980527
s000062,000006,4527674
s000062,000007,4521704
s000062,000004,3792227
s000062,000023,3716876
s000062,000002,4259754
s000062,000025,4639837
s000062,000020,4590754
s000062,000021,3933783
s000062,000022,4039659
s000062,000005,3526064
s000062,000024,4078411
s000062,000003,4788842
s000062,000000,3535696
s000062,000027,4812082
s000062,000028,4807402
s000062,000029,3962349
s000062,000001,3538230
s000062,000008,4175389
s000062,000009,4805212
s000062,000026,3939877
s000063,000015,1111229
s000063,000014,1111283
s000063,000017,1111223
s000063,000016,1111287
s000063,000011,1111223
s000063,000010,1111226
s000063,000013,1111366
s000063,000012,1111250
s000063,000025,1111229
s000063,000019,1111238
s000063,000018,1111327
s000063,000006,1111282
s000063,000021,1111220
s000063,000022,1111204
s000063,000005,1111293
s000063,000024,1111209
